"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0","+0.7","56% (9/16)"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1","+2.9","68% (11/16)"
"4",1,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-1","+3.8","50% (8/16)"
"5",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","0","-0.4","46% (7/15)"
"6",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","0","+0.7","50% (8/16)"
"7",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+5","+1.8","42% (6/14)"
"8",2,"Nico Collins",HOU,"WR5","6","4 out of 5 stars","+3","+0.9","63% (7/11)"
"9",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-2","-8.2","0% (0/4)"
"10",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","-1","+1.0","62% (10/16)"
"11",2,"Derrick Henry",BAL,"RB5","7","4 out of 5 stars","-3","+2.8","56% (9/16)"
"12",2,"Puka Nacua",LAR,"WR7","8","3 out of 5 stars","+1","+1.4","54% (6/11)"
"13",2,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-3","-","-"
"14",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+1","+3.7","75% (12/16)"
"15",2,"Drake London",ATL,"WR9","5","3 out of 5 stars","+2","-0.3","56% (9/16)"
"16",3,"De'Von Achane",MIA,"RB7","12","4 out of 5 stars","0","-0.2","50% (8/16)"
"17",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+6","+0.8","53% (7/13)"
"18",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+2","+1.4","56% (9/16)"
"19",3,"Jonathan Taylor",IND,"RB8","11","2 out of 5 stars","-1","+1.3","46% (6/13)"
"20",3,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-6","+1.9","50% (8/16)"
"21",3,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","-2","+2.8","75% (12/16)"
"22",3,"Chase Brown",CIN,"RB11","10","4 out of 5 stars","-1","+2.3","62% (10/16)"
"23",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+3","+2.0","53% (8/15)"
"24",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+3","+1.3","53% (8/15)"
"25",3,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-3","+2.0","56% (9/16)"
"26",3,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-1","-0.1","43% (7/16)"
"27",3,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-3","+3.6","75% (12/16)"
"28",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+4","+4.0","63% (7/11)"
"29",4,"Jaxon Smith-Njigba",SEA,"WR13","8","3 out of 5 stars","+4","+1.6","50% (8/16)"
"30",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+4","+2.9","78% (11/14)"
"31",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars","0","-2.1","31% (5/16)"
"32",4,"Mike Evans",TB,"WR15","9","3 out of 5 stars","+9","+1.5","46% (6/13)"
"33",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-4","+2.0","56% (9/16)"
"34",4,"Garrett Wilson",NYJ,"WR16","9","4 out of 5 stars","+8","+0.1","43% (7/16)"
"35",4,"James Cook",BUF,"RB13","7","4 out of 5 stars","-7","+2.1","60% (9/15)"
"36",4,"Davante Adams",LAR,"WR17","8","3 out of 5 stars","+9","+1.3","46% (6/13)"
"37",4,"Omarion Hampton",LAC,"RB14","12","2 out of 5 stars","-7","-","-"
"38",4,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-3","0.0","53% (8/15)"
"39",4,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","+1","+0.2","36% (4/11)"
"40",4,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","-1","-1.6","37% (6/16)"
"41",4,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","+2","+1.8","75% (12/16)"
"42",4,"Alvin Kamara",NO,"RB16","11","4 out of 5 stars","-5","-0.1","35% (5/14)"
"43",4,"Breece Hall",NYJ,"RB17","9","5 out of 5 stars","-7","-2.6","26% (4/15)"
"44",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+5","-0.2","31% (5/16)"
"45",5,"Courtland Sutton",DEN,"WR21","12","3 out of 5 stars","+6","+1.1","62% (10/16)"
"46",5,"DK Metcalf",PIT,"WR22","5","4 out of 5 stars","+2","-1.7","28% (4/14)"
"47",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-9","+3.9","68% (11/16)"
"48",5,"TreVeyon Henderson",NE,"RB18","14","4 out of 5 stars","-1","-","-"
"49",5,"Chuba Hubbard",CAR,"RB19","14","3 out of 5 stars","-5","+2.1","53% (8/15)"
"50",5,"James Conner",ARI,"RB20","8","3 out of 5 stars","-4","+0.4","62% (10/16)"
"51",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+4","+1.7","53% (7/13)"
